ID	Number	Name	Plural	TeReo	Hierarchy	GazetteerName	OSMClass	OSMType	OSMLandUse	WikiLink	WikiData	WikiMi
fe_70	70	Creche				Building	amenity	kindergarten	school	https://en.wikipedia.org/wiki/Child_care	Q364005	
fe_71	71	Creek	Creeks				waterway	stream		https://en.wikipedia.org/wiki/Creek_(tidal)	Q63565252	
fe_72	72	Crossing					highway	crossing			Q62059481	
fe_73	73	Cultural centre			48	Building	building			https://en.wikipedia.org/wiki/Cultural_center	Q1329623	
fe_74	74	Dam	Dams	Pāwai			waterway	dam	industrial	https://en.wikipedia.org/wiki/Dam	Q12323	
fe_75	75	Desert		Koraha		Desert	natural	sand		https://en.wikipedia.org/wiki/Desert	Q8514	
fe_76	76	Dining hall		Whare kai	55	Building	building		residential	https://en.wikipedia.org/wiki/Cafeteria	Q661199	
fe_77	77	Dining room				Building	building		residential	https://en.wikipedia.org/wiki/Dining_room	Q661199	
fe_78	78	District				District	place	district		https://en.wikipedia.org/wiki/District	Q149621	
fe_79	79	Divide					natural			https://en.wikipedia.org/wiki/Drainage_divide	Q152005	
fe_80	80	Domain					sport	multi	recreation_ground			
fe_81	81	Downs					natural			https://en.wikipedia.org/wiki/Downland	Q1253315	
fe_82	82	Entrance					waterway	river				
fe_83	83	Estuary		Pūahatanga		Estuary	waterway	river		https://en.wikipedia.org/wiki/Estuary	Q47053	
fe_84	84	Falls					waterway	waterfall		https://en.wikipedia.org/wiki/Waterfall	Q34038	
fe_85	85	Farm		Whāma		Building	building	farm	farmyard	https://en.wikipedia.org/wiki/Farm	Q131596	
fe_86	86	Fault					natural			https://en.wikipedia.org/wiki/Fault_(geology)	Q47089	
fe_87	87	Ferry		Waka tere			historic	ship		https://en.wikipedia.org/wiki/Ferry	Q25653	
fe_88	88	Flagpole			58		man_made	flagpole		https://en.wikipedia.org/wiki/Flag#Flagpoles	Q1971570	
fe_89	89	Flat	Flats		44	Flat	natural			https://en.wikipedia.org/wiki/Flat_(landform)	Q18389975	
fe_90	90	Floodway					tidal			https://en.wikipedia.org/wiki/Flood_bypass	Q5460060	
fe_91	91	Folly					natural			https://en.wikipedia.org/wiki/Folly	Q180174	
fe_92	92	Ford				Ford	ford			https://en.wikipedia.org/wiki/Ford_(crossing)	Q12743	
