ZoneID	Zone	Number	IndexName_1	SpokenName_1	Speaker_1	SpeakerID_1	Start_1	End_1	Duration_1	IndexName_2	SpokenName_2	Speaker_2	SpeakerID_2	Start_2	End_2	IndexName_3	SpokenName_3	Speaker_3	SpeakerID_3	Start_3	End_3	CommonName	UnspokenName	ExtendedName	VariantName	MisspelledName	Note_speech	Note_place	SeeType	See	See Text	SeeZoneID_1	SeeZone_1	SeeName_1	SeeNotes_1	SeeZoneID_2	SeeZone_2	SeeName_2	SeeNotes_2	SeeZone_3	SeeName_3	SeeNotes_3	SeeZone_4	SeeName_4	SeeNotes_4	Kind_1	Super_1	Kind_2	Super_2	Kind_3	Super_3	Kind_4	Super_4	Kind_5	Super_5
5	Kāpiti Coast	18	Rauoterangi	Rauoterangi	Te Aputa ki Wairua Kauri	114	56.68	58.04	1.36																																					channel									
5	Kāpiti Coast	19	Rikiorangi	Rikiorangi	Te Aputa ki Wairua Kauri	114	60.28	61.53	1.25	Reikorangi													Reikorangi			Reikorangi																				locality									
5	Kāpiti Coast	20	Tahoramaurea	Tahoramaurea	Te Aputa ki Wairua Kauri	114	63.21	64.84	1.63																																					island									
5	Kāpiti Coast	21	Te Puna o te Aroha	Te Puna o te Aroha	Te Aputa ki Wairua Kauri	114	66.33	68.18	1.85																																					pou whenua									
5	Kāpiti Coast	22	Tokomāpuna	Tokomāpuna	Te Aputa ki Wairua Kauri	114	69.95	71.22	1.27																																					island									
5	Kāpiti Coast	23	Tūteremoana	Tūteremoana	Te Aputa ki Wairua Kauri	114	72.83	74.43	1.60																																					peak (Kapiti)									
5	Kāpiti Coast	24	Waikanae	Waikanae	Te Aputa ki Wairua Kauri	114	75.69	76.57	0.88																																					town									
5	Kāpiti Coast	25	Waimāpihi	Waimāpihi	Te Aputa ki Wairua Kauri	114	78.1	79.71	1.61																																					stream									
5	Kāpiti Coast	26	Waimarino	Waimarino	Te Aputa ki Wairua Kauri	114	81.17	82.44	1.27																																					stream									
5	Kāpiti Coast	27	Waimea	Waimea	Te Aputa ki Wairua Kauri	114	84.54	85.41	0.87																																					stream									
5	Kāpiti Coast	28	Wainui	Wainui	Te Aputa ki Wairua Kauri	114	87.56	88.56	1.00																																					stream									
5	Kāpiti Coast	29	Wairaka	Wairaka	Te Aputa ki Wairua Kauri	114	89.64	90.49	0.85																																					point		rock							
5	Kāpiti Coast	30	Whakarongotai	Whakarongotai	Te Aputa ki Wairua Kauri	114	91.6	92.84	1.24																																					marae		meeting house							
